Name,SKU,Stock,Retail Price,Discounted Price,image_url,Website Link
Pashmina - Banarasi Saree - Pink Colour QS204820,QS204820,1,6000,3150,https://byrappasilk.in/storage/uploads/bsrKlEUvx7qmaeA5iC1nEQymK9K4CcA3u9t6LC7G.webp,https://byrappasilks.in/shop/pashmina_banarasi_saree_pink_colour_qs204820_1747470887
Organza Tissue Sarees - White & Gold Colour QA255622,QA255622,0,5495,5020,https://byrappasilk.in/storage/uploads/1cssgxdhsRwGnhP955n8kvXnhiWPEyThh9sbIaAI.webp,https://byrappasilks.in/shop/organza_tissue_sarees_white_gold_colour_qa255622_1746263310
Floral Organza Saree - Red Colour QA254685,QA254685,0,10995,10045,https://byrappasilk.in/storage/uploads/qg47mgXZJa6Hkt1a0Aglo3GRHjpGUffdBTyBpORV.webp,https://byrappasilks.in/shop/floral_organza_saree_red_colour_qa254685
Munga Crape Sarees - Blue Colour AA313403,AA313403,0,6000,3150,https://byrappasilk.in/storage/uploads/DOh6Yh13wqTpvxICi9rpCGyRG72bAtKTM2bhkxMi.webp,https://byrappasilks.in/shop/munga_crape_sarees_blue_colour_aa313403
Munga Crap saree With Black Colour AA313402,AA313402,3,6000,3150,https://byrappasilk.in/storage/uploads/4JLJoaYdcEToSWgnyn2wS7O6GvTMDBiuYH2Jy3yg.webp,https://byrappasilks.in/shop/munga_crap_saree_with_black_colour_aa313402
Munga Crape Sarees - Mustard Colour AA313400,AA313400,1,6000,3150,https://byrappasilk.in/storage/uploads/pbEkYpY8lwmr5e89LMIiVRcnmIlOrQdQnQ7ndwzq.webp,https://byrappasilks.in/shop/munga_crape_sarees_mustard_colour_aa313400
Organza Tissuse Saree With Aplic Work - Blue colour QA255132,QA255132,0,4295,3925,https://byrappasilk.in/storage/uploads/8g77UyeDma813l5kmIP1cfkar58Awv2pxvTSP4a4.webp,https://byrappasilks.in/shop/organza_tissuse_saree_with_aplic_work_blue_colour_qa255132_1746260838
Munga Crape saree With Rani Pink Colour AA313404,AA313404,1,6000,3150,https://byrappasilk.in/storage/uploads/PjQa9zkLlxKBrWv3fNRstu8b1lclOgCDtPZ3ar0U.webp,https://byrappasilks.in/shop/munga_crape_saree_with_rani_pink_colour_aa313404
Munga Crape Saree With Cream Colour AA313401,AA313401,1,6000,3150,https://byrappasilk.in/storage/uploads/jNXzadcZVV3PBCmWm3N7RqTOAeqV5oXG6uWS4RRn.webp,https://byrappasilks.in/shop/munga_crape_saree_with_cream_colour_aa313401
Pashmina - Banarasi Saree -Cream Colour QA255621,QA255621,1,6000,3150,https://byrappasilk.in/storage/uploads/XiFix3BQoTCxi474K6BxmFVJUSQgNFYV5Z0g4Sto.webp,https://byrappasilks.in/shop/pashmina_banarasi_saree_cream_colour_qa255621_1750686637
