query_number,query_image_id,query_filename,rank,result_image_id,result_filename,score,name,sku
1,713,000713.webp,1,711,000711.webp,0.9679393768310547,Kathan Banaras Saree Coffee Brown AA205129,AA205129
1,713,000713.webp,2,893,000893.webp,0.9612462520599365,Kathan Banaras Saree Royal Purple AA205129,AA205129
1,713,000713.webp,3,258,000258.webp,0.957796573638916,Pure Tussar Saree With Meenakari Work Deep Purple Colour QS279695,QS279695
1,713,000713.webp,4,962,000962.webp,0.9532678127288818,Malai Chanderi Saree Rich Wine AA305964,AA305964
1,713,000713.webp,5,961,000961.webp,0.9509890079498291,Malai Chanderi Saree Purple AA305964,AA305964
1,713,000713.webp,6,619,000619.webp,0.9505935907363892,Pure Banaras Intricate Gold Zari Butta Royal Purple QS294215,QS294215
1,713,000713.webp,7,608,000608.webp,0.9494510889053345,Semi Tussar Saree With White Floral Embroidery Lavender QS315303,QS315303
1,713,000713.webp,8,276,000276.webp,0.9490123987197876,Banarasi saree With Gold Zari Maroon Colour QS281932,QS281932
1,713,000713.webp,9,892,000892.webp,0.9487791657447815,Kathan Banaras Saree Light Maroon AA205129,AA205129
1,713,000713.webp,10,520,000520.webp,0.9453285932540894,Semi Tussar Saree Beige & Purple Border QS299451,QS299451
2,217,000217.webp,1,189,000189.webp,0.9565827250480652,Traditional Tussar Saree Bright Yellow with Green & Black Temple Border QS268576,QS268576
2,217,000217.webp,2,219,000219.webp,0.9510588049888611,Semi Tussar Saree Hot Pink QS273703,QS273703
2,217,000217.webp,3,503,000503.webp,0.9488701224327087,Semi Khaddhi Georgette Saree Olive Green QS298160,QS298160
2,217,000217.webp,4,311,000311.webp,0.9478247165679932,Pure Mysore Silk Saree Green & Off-White QS284400,QS284400
2,217,000217.webp,5,385,000385.webp,0.9477288722991943,Pochampally Saree pink & Green Border QS283987,QS283987
2,217,000217.webp,6,345,000345.webp,0.946722686290741,Habutai Saree Parrot Green QS286477,QS286477
2,217,000217.webp,7,432,000432.webp,0.9462234973907471,Soft Silk With Olive Green Saree QS292284,QS292284
2,217,000217.webp,8,224,000224.webp,0.9419052004814148,Semi Tussar Saree Diagonal Strip Design Green  QS267818,QS267818
2,217,000217.webp,9,355,000355.webp,0.9415402412414551,Mysore Silk With Jhumka Saree QS289638,QS289638
2,217,000217.webp,10,470,000470.webp,0.9410945773124695,Semi Khaddhi Georgette Saree Yellow QS295465,QS295465
3,888,000888.webp,1,759,000759.webp,0.976763129234314,Cotton Saree Olive Green Bird Design AA207916,AA207916
3,888,000888.webp,2,794,000794.webp,0.9724429249763489,Pure Linen Saree Off-White & Lemon Yellow AA210459,AA210459
3,888,000888.webp,3,887,000887.webp,0.9723339080810547,Semi Tussar Saree Cut Work Powder Blue AA212761,AA212761
3,888,000888.webp,4,812,000812.webp,0.9644861221313477,Pure Tusser Saree Green with Flower Design  QS283085,QS283085
3,888,000888.webp,5,605,000605.webp,0.9642188549041748,Organza Saree Embroidery Border Yellow QS315096,QS315096
3,888,000888.webp,6,364,000364.webp,0.9638998508453369,Tussar Saree With Meenakari Work Cream Saree with Bird Design QS287706,QS287706
3,888,000888.webp,7,593,000593.webp,0.9632434248924255,Semi Tussar Saree With Paithani Border Lime Green Colour  QS315436,QS315436
3,888,000888.webp,8,885,000885.webp,0.9629991054534912,Semi Tussar Saree Cut Work Pastel Green AA212761,AA212761
3,888,000888.webp,9,858,000858.webp,0.9626905918121338,Semi Tussar Saree Pastel Green AA212828,AA212828
3,888,000888.webp,10,661,000661.webp,0.962674081325531,Linen Saree Delicate Embroidery With Seafoam Green QS304656,QS304656
4,89,000089.webp,1,73,000073.webp,0.9420870542526245,Pure Organza Saree - Black Colour - QS217921,QS217921
4,89,000089.webp,2,88,000088.webp,0.9332369565963745,Organza Saree With Golden Aplic Work - Black Colour - QS219538,QS219538
4,89,000089.webp,3,70,000070.webp,0.9236940145492554,Kalamkari With Kanchi Border Saree - White With Red Border -QS217133,QS217133
4,89,000089.webp,4,74,000074.webp,0.9136747121810913,Banaras Fancy Saree - Cream Colour - QS216689,QS216689
4,89,000089.webp,5,63,000063.webp,0.9135527610778809,Fancy Saree (Aditya Birla Fabric) - White & Black Colour - QS217878,QS217878
4,89,000089.webp,6,29,000029.webp,0.9044225215911865,Organza Saree With Aplic Work - Black Colour - QS213061,QS213061
4,89,000089.webp,7,46,000046.webp,0.9022229909896851,Organza Saree - Blue Colour - QS216260,QS216260
4,89,000089.webp,8,50,000050.webp,0.9004483819007874,Aplic Work Sarees - QS214968,QS214968
4,89,000089.webp,9,24,000024.webp,0.8996767401695251,Floral Organza Saree With Aplic Work - White Colour - QS212142,QS212142
4,89,000089.webp,10,83,000083.webp,0.8982051610946655,Crape Saree - Black Colour - QS217862,QS217862
5,848,000848.webp,1,352,000352.webp,0.966022789478302,Ajrakh Printed Fancy Saree QS215500,QS215500
5,848,000848.webp,2,845,000845.webp,0.9642058610916138,Semi Tussar Saree Pastel Pink AA212783,AA212783
5,848,000848.webp,3,852,000852.webp,0.9611100554466248,Semi Tussar Saree Rose Pink AA212851,AA212851
5,848,000848.webp,4,856,000856.webp,0.960716724395752,Semi Tussar Saree Lavender AA212828,AA212828
5,848,000848.webp,5,958,000958.webp,0.9605239629745483,Malai Chanderi Saree Deep Purple AA305964,AA305964
5,848,000848.webp,6,720,000720.webp,0.9603803753852844,Semin Tussar Saree Mauve Pink AA206390,AA206390
5,848,000848.webp,7,907,000907.webp,0.9590256810188293,Cocktail Party Wear Elegant Lavender Sequin Saree AA212503,AA212503
5,848,000848.webp,8,716,000716.webp,0.9588171243667603,Semi Tussar Saree Mauve Purple AA206403,AA206403
5,848,000848.webp,9,360,000360.webp,0.9528589248657227,Stripes Purple Saree with Rising Border QS288187,QS288187
5,848,000848.webp,10,531,000531.webp,0.9501597881317139,Semi Tussar Saree Elegant Peach & Blush Pink Border QS299395,QS299404
6,140,000140.webp,1,143,000143.webp,0.9628244042396545,Dola Elephant Print Stripes Wine Saree QS250271,QS250271
6,140,000140.webp,2,142,000142.webp,0.9304461479187012,Dola Elephant Print Stripes Pink Saree QS250261,QS250261
6,140,000140.webp,3,144,000144.webp,0.9280472993850708,Dola Elephant Print Stripe Red Saree QS250269,QS250269
6,140,000140.webp,4,128,000128.webp,0.9129586219787598,Dola Peacock Dark Blue Banarasi Silk Saree QS248064,QS248064
6,140,000140.webp,5,107,000107.webp,0.9118417501449585,Russian Viscose Saree  Purple with Golden Zari Elephant QS243136,QS243136
6,140,000140.webp,6,893,000893.webp,0.9112943410873413,Kathan Banaras Saree Royal Purple AA205129,AA205129
6,140,000140.webp,7,103,000103.webp,0.9104689359664917,Rangkat Banarasi Saree Multicolor  with Peacock & Floral Motifs and Magenta Zari Border QS239062,QS239062
6,140,000140.webp,8,98,000098.webp,0.9102573990821838,Plum Purple Silk Saree with Zari Floral Pallu QS236793,QS236793
6,140,000140.webp,9,879,000879.webp,0.9070932269096375,Linen Cotton Saree White With Black AA300350,AA300350
6,140,000140.webp,10,102,000102.webp,0.9053896069526672,Rangkat Banarasi Saree Multicolor Peacock with Purple Zari Border QS239074,QS239074
7,87,000087.webp,1,92,000092.webp,0.951964259147644,Fancy Designer Saree with 2 Blouse - Black Colour - QS219652,QS219652
7,87,000087.webp,2,84,000084.webp,0.9506987929344177,Tussar Aplic Printed Sare - Red Colour - QS242940,QS218680
7,87,000087.webp,3,85,000085.webp,0.9506198167800903,Tussar Aplic Printed Saree - Wine Colour - QS242941,QS218681
7,87,000087.webp,4,47,000047.webp,0.9432516694068909,Organza Saree - Black Colour - QS216262,QS216262
7,87,000087.webp,5,41,000041.webp,0.9405901432037354,Ajrakh Printed Sarees -Black Colour - QS215164,QS215164
7,87,000087.webp,6,45,000045.webp,0.9401830434799194,Organza Saree Wine Colour - QS216261,QS216261
7,87,000087.webp,7,261,000261.webp,0.9361993074417114,Raw Silk with Cut Work Black Saree QS280192,QS280192
7,87,000087.webp,8,29,000029.webp,0.9358922839164734,Organza Saree With Aplic Work - Black Colour - QS213061,QS213061
7,87,000087.webp,9,46,000046.webp,0.9345154762268066,Organza Saree - Blue Colour - QS216260,QS216260
7,87,000087.webp,10,109,000109.webp,0.9271880388259888,Kalamkari Black Silk Saree with Traditional Mythological Motifs QS242541,QS242541
8,491,000491.webp,1,492,000492.webp,0.9754672050476074,Organza Saree With Aplic Work Half White QS295247,QS295247
8,491,000491.webp,2,434,000434.webp,0.965822696685791,Organza Beige Saree QS281414,QS281414
8,491,000491.webp,3,653,000653.webp,0.9634871482849121,Tussrar Saree Off-White Pearl Work QS318859,QS318859
8,491,000491.webp,4,651,000651.webp,0.9598881006240845,Tussrar Saree Off-White Pearl Work S318859,QS318859
8,491,000491.webp,5,489,000489.webp,0.9584449529647827,Organza Saree With Aplic Work Ivory QS295244,QS295244
8,491,000491.webp,6,396,000396.webp,0.9583567976951599,Tussar Saree With Pichwai Design White QS289726,QS289726
